단속해당동,단속장소,차량번호,단속등록일
화곡3동,8_25,34****7, 2021-10-27 03:27 PM
화곡3동,8_14,23****6, 2021-10-27 03:32 PM
등촌1동,2_10,02****4, 2021-10-27 03:36 PM
화곡3동,8_09,01****0, 2021-10-27 03:36 PM
발산1동,17_31,37****7, 2021-10-27 03:44 PM
등촌1동,2_33,38****61, 2021-10-27 03:48 PM
방화1동,20_21,40****9, 2021-10-27 03:48 PM
등촌2동,3_41,11****4, 2021-10-27 03:57 PM
등촌2동,3_41,20****6, 2021-10-27 03:57 PM
염창동,1_34,48****4, 2021-10-27 04:00 PM
방화1동,20_47,43****8, 2021-10-27 04:00 PM
등촌2동,3_47,25****4, 2021-10-27 04:01 PM
방화1동,20_47,14****31, 2021-10-27 04:01 PM
등촌2동,3_47,16****2, 2021-10-27 04:02 PM
염창동,1_22,90****6, 2021-10-27 04:05 PM
화곡본동,5_20,33****5, 2021-10-27 04:07 PM
염창동,1_48,13****70, 2021-10-27 04:12 PM
화곡본동,5_14,88****0, 2021-10-27 04:15 PM
염창동,1_44,33****8, 2021-10-27 04:17 PM
등촌1동,2_34,33****82, 2021-10-27 04:20 PM
방화1동,20_32,68****4, 2021-10-27 04:22 PM
방화1동,20_35,51****0, 2021-10-27 04:28 PM
화곡1동,6_18,15****34, 2021-10-27 04:29 PM
방화1동,20_36,13****1, 2021-10-27 04:30 PM
화곡1동,6_35,11****3, 2021-10-27 04:35 PM
화곡1동,6_47,18****92, 2021-10-27 04:37 PM
화곡1동,6_46,15****77, 2021-10-27 04:39 PM
등촌1동,2_06,서울****472, 2021-10-27 04:43 PM
방화2동,21_40,10****61, 2021-10-27 04:50 PM
등촌3동,4_03,76****9, 2021-10-27 04:57 PM
방화2동,21_19,18****8, 2021-10-27 05:07 PM
화곡8동,13_47,10****56, 2021-10-27 05:08 PM
방화2동,21_85,20****44, 2021-10-27 05:11 PM
방화2동,21_05,08****8, 2021-10-27 05:18 PM
방화2동,21_05,37****61, 2021-10-27 05:19 PM
방화2동,21_09,45****0, 2021-10-27 05:22 PM
가양2동,15_02,22****8, 2021-10-27 05:23 PM
가양2동,15_02,34****0, 2021-10-27 05:23 PM
등촌1동,2_08,62****4, 2021-10-27 05:36 PM
방화1동,20_39,19****8, 2021-10-27 07:25 PM
화곡1동,6_63,10****7, 2021-10-27 07:29 PM
염창동,1_38,50****8, 2021-10-27 07:29 PM
화곡1동,6_63,12****19, 2021-10-27 07:31 PM
화곡1동,6_63,82****1, 2021-10-27 07:32 PM
방화1동,20_47,26****0, 2021-10-27 07:33 PM
화곡1동,6_63,03****6, 2021-10-27 07:35 PM
화곡1동,6_63,15****10, 2021-10-27 07:37 PM
등촌1동,2_07,10****88, 2021-10-27 07:44 PM
방화1동,20_60_101,54****0, 2021-10-27 07:48 PM
화곡6동,11_44,11****1, 2021-10-27 07:54 PM
화곡1동,6_46,94****4, 2021-10-27 07:55 PM
우장산동,18_22,27****6, 2021-10-27 08:01 PM
화곡8동,13_47,02****9, 2021-10-27 08:03 PM
가양2동,15_14,41****0, 2021-10-27 08:13 PM
방화1동,20_15,33****1, 2021-10-27 08:14 PM
화곡4동,9_81,24****50, 2021-10-27 08:17 PM
가양2동,15_13,34****3, 2021-10-27 08:18 PM
화곡4동,9_81,59****0, 2021-10-27 08:18 PM
가양2동,15_13,13****49, 2021-10-27 08:19 PM
화곡3동,8_01,69****3, 2021-10-27 08:19 PM
화곡3동,8_01,20****5, 2021-10-27 08:20 PM
가양2동,15_11,24****6, 2021-10-27 08:22 PM
방화3동,22_18,31****6, 2021-10-27 08:23 PM
화곡4동,9_86,37****7, 2021-10-27 08:26 PM
화곡3동,8_39,56****1, 2021-10-27 08:27 PM
가양2동,15_13,52****6, 2021-10-27 08:27 PM
방화3동,22_26,69****3, 2021-10-27 08:33 PM
가양2동,15_02,11****6, 2021-10-27 08:34 PM
발산1동,17_51,서울****923, 2021-10-27 08:40 PM
화곡4동,9_01,31****7, 2021-10-27 08:44 PM
화곡4동,9_16,29****5, 2021-10-27 08:50 PM
공항동,19_09,06****9, 2021-10-27 08:54 PM
우장산동,18_40,52****7, 2021-10-27 09:00 PM
등촌1동,2_34,40****5, 2021-10-27 09:01 PM
화곡8동,13_42,35****81, 2021-10-27 09:06 PM
염창동,1_34,58****2, 2021-10-27 09:08 PM
화곡8동,13_42,57****3, 2021-10-27 09:08 PM
우장산동,18_35,서울****118, 2021-10-27 09:09 PM
화곡8동,13_09,28****86, 2021-10-27 09:12 PM
가양3동,16_02,82****2, 2021-10-27 09:21 PM
등촌1동,2_06,85****2, 2021-10-28 07:42 AM
등촌1동,2_35,04****7, 2021-10-28 07:44 AM
화곡6동,11_79,64****6, 2021-10-28 07:51 AM
등촌1동,2_33,76****6, 2021-10-28 07:52 AM
