거래일자,법정동,도로명,아파트,층,전용면적,건축년도,거래금액
2019-12-09,신내동,신내역로1길,신내우디안1단지,13,84.62,2014,63500
2019-12-09,신내동,신내역로1길,신내우디안1단지,13,84.65,2014,62750
2019-12-11,신내동,신내역로1길,신내우디안1단지,10,84.82,2014,61700
2019-12-12,신내동,봉화산로56길,경남아너스빌,11,84.98,2007,56500
2019-12-13,신내동,신내역로1길,신내우디안1단지,4,84.82,2014,60000
2019-12-14,신내동,신내역로1길,신내우디안1단지,11,84.91,2014,62800
2019-12-14,신내동,신내로,성원,15,84.32,1994,50000
2019-12-16,신내동,신내로,성원,24,84.32,1994,49500
2019-12-21,신내동,신내역로1길,신내우디안1단지,4,84.62,2014,61500
2019-12-23,신내동,신내로,성원,20,84.32,1994,49700
2019-12-24,신내동,용마산로129가길,영풍마드레빌,2,84.8485,2004,53500
2019-12-26,신내동,봉화산로56길,중앙하이츠,2,84.97,1996,43000
2019-12-26,신내동,신내역로,신내 데시앙포레,2,84.94,2013,61000
2019-12-27,신내동,봉화산로,동성타워프라자,6,84.21,1996,38200
2019-12-28,신내동,신내로,성원,8,84.32,1994,49300
2019-12-30,신내동,신내역로,신내 데시앙포레,2,84.65,2013,57500
2019-10-30,성북동1가,창경궁로,휴아름 스튜디오,8,13.57,2015,18000
2019-10-01,돈암동,정릉로,동부센트레빌,12,80.54,2003,66800
2019-10-04,돈암동,동소문로34길,길음역금호어울림센터힐,18,59.84,2014,65500
2019-10-05,돈암동,아리랑로,돈암코오롱하늘채,13,59.9342,2016,67900
2019-10-07,돈암동,아리랑로,돈암코오롱하늘채,12,59.8616,2016,71000
2019-10-08,돈암동,정릉로,돈암현대아파트,9,41.58,1991,32500
2019-10-09,돈암동,정릉로,돈암현대아파트,3,41.58,1991,31700
2019-10-10,돈암동,정릉로,돈암현대아파트,15,84.39,1991,48500
2019-10-12,돈암동,정릉로,돈암현대아파트,12,68.76,1991,49000
2019-10-12,돈암동,동소문로34길,길음역금호어울림센터힐,5,59.5,2014,65000
2019-10-12,돈암동,아리랑로,돈암코오롱하늘채,1,59.9342,2016,64500
2019-10-14,돈암동,정릉로,돈암현대아파트,10,56.7,1991,42000
2019-10-18,돈암동,정릉로,돈암현대아파트,3,41.58,1991,32000
2019-10-18,돈암동,아리랑로7길,삼성 아지오 아파트,5,84.97,2007,35500
2019-10-19,돈암동,정릉로,동부센트레빌,8,81.82,2003,68000
2019-10-19,돈암동,아리랑로,일신건영휴먼빌아파트,19,84.98,2005,62000
2019-10-19,돈암동,동소문로34길,길음역금호어울림센터힐,18,59.5,2014,65000
2019-10-22,돈암동,아리랑로,일신건영휴먼빌아파트,1,143.51,2005,72400
2019-10-23,돈암동,정릉로,돈암현대아파트,8,68.76,1991,43000
2019-10-26,돈암동,동소문로34길,길음역금호어울림센터힐,14,59.5,2014,67000
2019-10-28,돈암동,아리랑로,돈암코오롱하늘채,13,59.8616,2016,67500
2019-10-29,돈암동,아리랑로,돈암코오롱하늘채,16,84.9594,2016,85000
2019-10-14,동소문동4가,동소문로3길,송산아파트,8,58.59,1998,42000
2019-10-22,동소문동4가,동소문로3길,송산아파트,4,58.59,1998,41000
2019-10-28,동소문동4가,동소문로3길,송산아파트,9,111.55,1998,60000
2019-10-01,삼선동2가,보문로29다길,삼선푸르지오,7,84.82,2008,65900
2019-10-03,삼선동2가,낙산길,삼선현대힐스테이트,4,84.83,2009,65000
2019-10-05,삼선동2가,보문로29다길,삼선푸르지오,3,59.95,2008,56700
2019-10-09,삼선동2가,보문로29다길,삼선푸르지오,15,114.65,2008,73400
2019-10-09,삼선동2가,보문로29다길,삼선푸르지오,4,59.95,2008,56000
2019-10-11,삼선동2가,보문로29다길,삼선푸르지오,8,59.95,2008,56300
2019-10-12,삼선동2가,보문로29다길,삼선푸르지오,10,84.83,2008,64250
2019-10-12,삼선동2가,보문로29다길,삼선푸르지오,6,84.84,2008,65000
2019-10-12,삼선동2가,보문로29다길,삼선푸르지오,2,59.95,2008,55000
2019-10-17,삼선동2가,보문로29다길,삼선푸르지오,10,114.65,2008,75000
